"","achievement_count","athlete_count","athlete.id","athlete.resource_state","average_speed","average_temp","average_watts","comment_count","commute","device_watts","display_hide_heartrate_option","distance","elapsed_time","elev_high","elev_low","end_latlng1","end_latlng2","external_id","flagged","from_accepted_tag","gear_id","has_heartrate","has_kudoed","heartrate_opt_out","id","kilojoules","kudos_count","location_country","manual","map.id","map.resource_state","map.summary_polyline","max_speed","moving_time","name","photo_count","pr_count","private","resource_state","sport_type","start_date","start_date_local","start_latlng1","start_latlng2","timezone","total_elevation_gain","total_photo_count","trainer","type","upload_id","upload_id_str","utc_offset","visibility","workout_type","location_city","location_state","cluster"
"1",15,1,"9989324",1,23.1156,"18",105.8,0,"FALSE","FALSE","FALSE",32.1517,18606,1378.4,313.4,52.6029227860272,-1.85217713937163,"garmin_ping_235817819853","FALSE","FALSE","b3667253","FALSE","FALSE","FALSE",7675383111,529.7,10,"United Kingdom","FALSE","a7675383111",2,"sob`I|}jJm@t@eMxJk@Z_@@}AU_@^Bh@Nv@Cj@qAhEa@jBoDdVu@xHW|IIZ_@k@eEyJcCuDwD_Ek@WuIo@kBq@e@[s@y@kD{Fm@i@wEgAoDYgBc@yACmBa@_Bo@SJ[z@u@nAu@t@qCjBcDfBoFjAGh@L`D@dCg@pPApAJdEEfAsAdBmHlLI^Bv@dAnHB`BOpEKtAIj@}@|C_@bCLdKQtIFbBn@~DF|BK|Ac@DKT\nHAt@Yz@mAlBWLk@DcErAuE~@wDrAeB`A}AnA_CdCcC`D}@vAuAjCsEjGmDbG{AvBk@rA_@rCq@tD_BrHSf@UBo@m@c@Ci_@lEgBh@eTtIqFbBiA~@eA^gBjAkEpD[j@W~@}Ax@}GfIaPlHk@\a@p@[Ry@HoDzAsAt@iAlAgJlOIZEzAK\yAjCiFvM{@|CcC|Tg@zCuE|d@MvA@f@PJCBYBy@a@a@E_OFTDAJSUOAyLUyCDuWY[RYhAY\]MOm@EqAGCQNcHOM^eApM@d@NJ`@?_A{ACHFKGA~@_KFiAGYmDO{EZ}KP_M?mIOG{@wAsJa@aB{@eBqDsEs@gAyA{CsAmEk@}C_@}CgDod@OgF@oIGyB]gEH_A^mAhEcMPiAh@kHjBeCrGsH`DqChC}AbGgBhCYbHZ`Ec@bINdAQxAaAp@WrEeAzAM~ADr@PDc@f@s]OkLNqGScELi@ZK`EtChCh@lGnBfIvBVTxBfD~EzF~AnA~@NjJe@~CtB~HBvCd@tB]b@?vAv@V^hA`ElD`I`@vAXdBdB`HnBnG~@rE`B`H`@bCvBjH`@hCVzDP~@^Pl@UzPqIbH}IHOVuAb@Uv@QdDqCnDiCRo@VWn@F`AMlDaApWgKl_@kETQLc@`@U~@v@R[tBqKd@sDb@oA~C}EzBwDnEgGz@cBFy@KaAyAgLuAuOHiB\w@nAsAdBaAnGeAj@S|@y@pJVdFArBh@fBfArAj@DQFkAEuB[aCS}@IyAAgBL{A@yA?wCOgHNsA|AgGP}BL_EMyBaAyHLm@nBsC`CeEhCiDHs@KaH@qBZwIDmDAy@_@qEJQdEa@bA[bImFh@o@rAcCj@^nA\rB^lBDrBh@hBLpCx@jB\\^|BhEfAzAx@h@vBn@dIn@r@XtEjFtArB~EjLNA\qIf@gHtDcVlBsH?m@SmANs@b@YtA@x@ShM{J`AgA",50.9328,5007,"Church ",0,"8","FALSE",2,"Ride","2022-08-21T07:39:17Z","2022-08-21T08:39:17Z",52.6029202714562,-1.85333275236189,"(GMT+00:00) Europe/London",266,0,"FALSE","Ride","8191169274","8191169274","3600","followers_only","10",NA,NA,8
"2",28,2,"9989324",1,23.7708,"18",102.7,0,"FALSE","FALSE","FALSE",69.7042,14211,148.8,53.4,52.6029993966222,-1.85223991982639,"garmin_ping_235675694206","FALSE","FALSE","b10951622","FALSE","FALSE","FALSE",7668912424,1084.2,10,"United Kingdom","FALSE","a7668912424",2,"uma`IpigJmJsg@qCsAiS_AkWbGkLxNaElHkSnV}BbHqHLcEpHgJ`IiE~@kDzF}FjC{FaAaF|@sIcSqCoJoDgOo@aIoMeRaKtIaCfh@{c@{KcEpIaFxEaF`I{NWeI~AqOwHeSgA_GmEqOtWsDdTcAdCuC~CiIhEiOhD{FdOwJyM}A?M|G~D|QAtO}A~KeKlXiCtQkAbYyIgD{BhJcCrE}LNwGjBaKsLsH{Go@HiQj_@wG|R]|F_AfE{B`GiCfDsR}FiQAmF_BqHiFkAuEUuPqAiFy@eKgCyKkCkCeJn@oP~WqGu@eEeG{CdAoChC}AHgAsEc@_LgE]}AcCgG}BcImIcG^cDkDo@yYqGoUbA{GxHkWG{LvA}JA}BgDyO{S_K}AFeBkK}GvQaChEoR|LeEhHwLvLgJbDkNjOmEdCkM|Ck@iA_LkF_B@gApA}UqF_b@lMsI_EcMiAyAyc@i@}@eEI]uK{AoPwBuDNaEsAe\uA}Rq@aDoB}AaRz@oBgCoA}Ns@}@aInB}GrEwAgKuAmGy@kUpDiJzH{Jj@uDDgRmAuUcA}GJwFI{SSyM|@cP~DuOz@aH[uBmB{C{Cu_@yAsI}A{DPaf@p@sJwVoFsFoKmEeSwAmDmFtA_E^w@iBoAaKs@sBaHg@kSgMsPmCEwYdCcxAImC}B_Kk@kPpGaqBi@iIaBwHnA{HKoKhFv@nCyBnEeJhC{SiAoO{CgGuEsRqBuMmAmBiFeCw@uCBmBzE}PnAz@pA|EnA`BlV~J|LdJfJpD|GjG|F_ArCfApGfFtCtErJpJfTbFV^qBdJUSjAyEzDaJz@oId@aWoFs\QqE|Fck@S{DvA{AxGaPbCyJZ_EXm_@g@aNuB}K[_SjCkMfBtHr@dJhDjHrMfRnGGrC~AlBpBdGvKjD~Cte@VrJiDvRs@f@i@p@kGn@aAxXfKnBxBhSdf@vHfOfDxJzFdJhEjKzAlG`Hlf@nNhGrBrDxBdJk@lPsH`d@gCx]tIj\fG|KjS~LuFrY?pRhI~BfJxGdT`G^m@@gF\}@hXR|Go@hSsHC}FZs@fNi@hFpDjIxBnTlJ`^tStTdHrV`^tLnGlJzIlBc@nCgFzN{B~BnArB|GrEjEbUlJpV`Bxk@pJ`D|HvAfMnCtIrDmB|HjNdOtJzFhIdJ|IfKnFbHxGnF~BnThY`Hl@`RzHxM|KzDrMHpK]bQ}EhOVbAtCz@rGBBfCi@NbDFtDbRtHvNpB~IZnG]`G_CpOfAfEzE`M~IrGzOnHrMjAfS|P~LzGhEf@vJy@fIvFxBFB~BrDxWjB|\~Kvn@",48.3948,10556,"Skinny Kitten with Pete and Malcolm ",0,"9","FALSE",2,"Ride","2022-08-20T07:29:50Z","2022-08-20T08:29:50Z",52.6026788726449,-1.85287669301033,"(GMT+00:00) Europe/London",469,0,"FALSE","Ride","8183818927","8183818927","3600","followers_only","10",NA,NA,8
"3",31,2,"9989324",1,20.9844,"13",100.3,0,"FALSE","FALSE","FALSE",61.2735,17327,232,86,52.6029452495277,-1.85220563784242,"garmin_ping_235310062137","FALSE","FALSE","b10951622","FALSE","FALSE","FALSE",7653685451,1054.6,10,"United Kingdom","FALSE","a7653685451",2,"yma`InigJuHec@oAmDeAuSiBcWiC{Oq@aB_K}GyJ~@kEq@o[ySwFgFmJMuFcDuJmDsHmFcA_EyDgHo@{BAkAbC}OFoHW_GaB}IyA}DqEaHgEyQiCZXGKiDaB^mHyA_@s@jEcOZeSCiJ{@yE{CwHaK_H{RiJ_I_A{ScXiB_BcEsAqHcH{JiFeJgJkFwHoNeJuHkMqDtBgCuHwCaS}@oCsBuBe]oDeM{BgQu@aV{IcEdNJtCo@|FiBnd@fAnOqCpNObDXbKYxQ~@fd@SzFaHtOyDjLyJ~i@k@`HwAvFu\qd@wDpMaDzFeBdBwHbEzQnrA`BrSgAfEB`Ii@DeFaGoCbCeB]kFoIg@uIyDkCy@jAi@vMyBhLb@|@zBz@fBhDdC`J|CjGb@pEjBfFbBvI~EaDvEkH@oDuDsJr@eBb@XOo@aBtBDh@`Az@bAhCd@xGdDlH~BIjF{JrDbIxDpDfAPlGo@nIqIfExNzDCzXrQ}AxGuJbVWbD_BjCqBpHWfDqAtBwGtVmChHDxCh@|BpM|^XpFf@vB_@nGvDdQ`@rJg@zIwAtIoHdQ_AnDgCxPyA~Z{H_EgCtI_D`GiKCgHxBxD~VzDlh@mATiEuAsH^kSjEyBnAiF?_DwAoHwG_AQf@rC@dC{BhM?lEqA|JJtJe@|KcAdGHhT_AzGe@dKiG~SiIhQaKlNcJ~F_E`G_MbK_NhJuEaAeD{CeAiDq@{D}@cS{BcGeBgH[mH}CcBiC_ECcE^gNqGmQqBgLiIsYmIiCkG?sL~C{FnEm@bBTlEYnF^jII|FYlAaB~@iHq@eDkDsE`@a@uCq@sAcHiDkLe@j@~JnEnU`AzIyC`IlBbW^rNm@fM{AjFqC`G`D~_@TrN[tDaDnKyAjNq@jJFzAzQ|JfApAjEpNhI|QjK~SjDbMdDbX|AlE|G|GbD~DxErIvI~RtF_F`\a\~G}L~HyWIiVqB_`@aEsIeA}Ei@kGMiMiA{FpB{Mb@kHUsNeCeJz@}CvDyVlE~AdC[hXkSbFoHlHgEdCgCjIoLbImQrFmQbA{JnMcPfE_CzI_CfZCdLqDtFBp@s\E{]XUhEnCbUtGzL`OfAf@|K[hCdBdRZbCzAfGlO~FvTxHd\jAbK|@b@bR{IvG{IVyApCuAbHsFd@eAfFo@pY}Kt_@uEp@iAjAx@xDcS`QoXC{BqD}\p@iDvCwB~GoAhBsArPNjCd@~D|BRkBw@_KAgVVsCdAsDf@yIeAqL`KmPh@o]OyG`HwAxGiE~BwDnXpFnHnJlNrBtFhGhHfOtCy[|AkKbCyJ]_BFmAbDWpPoN",48.9672,10512,"Ride inc. Dolly Makers, Chapel Lane (for him) with Ian and lunch with Jayne, Mike, Mum and Dad in Lichfield ",0,"18","FALSE",2,"Ride","2022-08-17T09:41:09Z","2022-08-17T10:41:09Z",52.6030680444092,-1.8525124154985,"(GMT+00:00) Europe/London",675,0,"FALSE","Ride","8166766890","8166766890","3600","followers_only","10",NA,NA,8
"4",29,1,"9989324",1,21.186,"22",103.4,0,"FALSE","FALSE","FALSE",51.0542,46729,257.4,146.2,52.6030826289207,-1.85233949683607,"garmin_push_9381646997","FALSE","FALSE","b3667253","FALSE","FALSE","FALSE",7619564171,897.3,10,"United Kingdom","FALSE","a7619564171",2,"wob`I~{jJe@~@iAbAeK~HoAf@_B]i@PPpCkCpFcDnYmAlTaFsL}BmD{CeDaA_@eHa@iCs@iByAqE_HiMeCwCQcEiAmEpEqFlDoGfBG^XzGe@nRJ`HG\_BrAcFtHiAfBIx@rAnJB|AUxEwBxKT~IMlKr@pFJxBK|BaEsBeBg@gRGkAv@oIrB{CbC]fA?pAjEx_@gBjDsD|EuHhMyBnMsAnF_Aw@i@Ak`@|EcW~JqEnAw@x@oJpGa@`@y@tBwAn@yG|HwPvHqAjAOUAmDu@yGoB{GiF}VmC{IqA_GyD}IoAsEuAy@yBZeOg@cDkB{If@oASuNaPwTsGoDaC[@Q^AfMF`Sm@lX_FE}FlAkDbByIKqDj@aIYmBPaIzBaDxBiM`O{@rIgGrSiEdKcDbG_L~MgIlF_DrEcBfBcPxMuCpBkCdAqD_AqDoC{AyHoAyTgFwRMoFa@Ws@NaAi@_CyC_@eA@kFb@sJO}AkGaQ_CcN{G_Ve@s@iMyCeFPoInCoFjEg@hAEhHYxC\rRg@dBg@T{FByDkAuBoBoDFU}@FyBoAgAiHmCcLu@Gt@z@rIhGn[FfEiCxEOr@lBjUn@pMa@vMWrBkA`EaCxE[pA~AhPjAhPFvNMdAoFvQeAnVL`@~A|@rKnFfBnA|@jAfEtNxB`ErExKlHpMzF~PhCpT~AdHrAnCvAhBrFdEjGdLbItQjA|F|A|PUnLHnMz@rAtBlBRCl\eq@uAgLe@aXg@q@|IeOfJkYnSgPvBkDxRin@nBiFjCmE@e@SC?iAtDwTl@sJGoE{@iKeJM}EuGsQoJsCaCmE}BsFgBeBmBy@aEk@MjBXrBe@`YwTtAeCvAaBxIqFxBuBjI{L`IeQrF_Rx@mIZw@rGuIbDgDvBuAlJwCfM?zCg@pILvKmDzF@h@wYIaQHoHKyCFi@XUzAt@cC}AuBkEwC_CoDy@{APy@\o@lAOp@LLB_@Gn@G}@b@m@Jq@dDe@dEdAnBnAnBrElFvDnVpHnMbObAT~Ja@vClB`Nh@`C]pBjAh@jCzEdLpCnMrB~GjEnSfBfG~@zIT`@x@I`QiIvHqJZ}AtAc@jIiGr@oApACjF{AlVsJt_@qEdAmA`Av@dAaE|BiMvO_Vd@oAGgByA{KyAkPRsB^o@nCoBvGuAhCwAvRRbGvCNuAGeCu@_GJ_HOwMrBwJZ}HqAaKN{@|JqOIiKd@{O[wHxG}@|HuF|BaDrAl@xLrAzGxA|ExHbAz@rBp@tHj@zAd@nFrGbGdN\RjA{S`DiTzBaKIwCbEi@hMiJbAmA",55.6272,8676,"Night Ride that wasn’t at night ",0,"17","FALSE",2,"Ride","2022-08-10T21:37:43Z","2022-08-10T22:37:43Z",52.6030356064439,-1.85332059860229,"(GMT+00:00) Europe/London",581,0,"FALSE","Ride","8128724812","8128724812","3600","followers_only","10",NA,NA,8
"5",19,1,"9989324",1,23.8788,"21",109.6,0,"FALSE","FALSE","FALSE",55.8058,12136,111.2,19.8,52.6030915975571,-1.85233438387513,"garmin_push_9349027980","FALSE","FALSE","b3667253","FALSE","FALSE","FALSE",7592205840,922.1,9,"United Kingdom","FALSE","a7592205840",2,"wma`I`igJwGc_@mBoH}@wKSeHy@wNi@_GoCqOg@qA{JqGcD?gEbAwEc@qTmNeMiKoDk@qEJ{GqDgI}CeIsFeCaIyBgDc@cBCoAbCoNRwGe@}JcAcGwAyD_FyImBaGwA{HkDCd@GA{COG}BZgHuBI{@zEkNZeSGwIg@eDqDmJmO}JaMuFaCu@mFQ{M}Q{FwG_FgB{HmHaLeGqH}H{FkIoHoE_F_EuHeMmCjCWQ_CeH{@sJk@mCiB_Gq@q@eD}A{Ce@kVuB_KqBwKQqGw@aToIxAuILgDBuf@x@cTD_T\sCrBkCHk@iHgIuAkFEeGjBiKDeD[{BiCoL_BiOoCwJwCcQc@i@s^oFyUsKe@eCoAaQiQmYAyErGkEnAoA\iA`@eEIuGe@iCaDkGgPiX}DkEw@oBuBuJyBwSqA{DwAkQyCwRW}DpBgXfEiXqEgD_FyAiAEuIpC_AIqEcLo@iCyCqRs@yHuCqM?eDtGsMjAgI|BqIb@cD~D_m@jDaRXkCDgDiCgP{@wMQk[}Am^\oKLiXu@sRMuMeByLc@q@gFtDaCdDsHpCoSuBiQnBcHc@qMRcDpAgPzODnFj@|FbQrf@PrEpAxG`C`E~AhGxBtTKfDTvNtBlHt@xGi@fKc@hf@PtnAJlGrB~RLzE[xCsAzB_BzPPtA`CxFJfHOdAoA`C_C`PmAhMkExGeEvIgDlE}P`JqDJaJxF{I`B{D~IsCnMeCpDwCzJ]bCgAhV_@|BiC`HlBxDvB~I_@jMmDnVaCzLoCl]BxCgAdHyI~kAyC|RgDbNgJWoNsFyBUL{Sa@DFAJFIMCXFAQCTAOBAENT\MQfCD|NnTzGz@nLC`BbJ~m@nSrIxJdA`CArBcCrEi@\bCnB~FbARlBuAfB{E`C{HnCeP~A_DxCe@dGxElBt@p@yFzAgWd@sJLgN|Ou@jJr@vHgAfPsGTu@WeEVo@fMy@xA^jEzCrHnB`StI~NlJ~SlKlNhElF`GvQlW~LpGhIdInB_@vAwDh@g@xGkBhFc@~BfAdChInFvEbKbDxG~CfIdArLZzLlC`T`BrGrB~@rAv@|Ch@pDZvGtC|IbAvAh@DdC{BXFt@vBdHhKbN|I~FfIpIjIzK|FvGtGbFjBlJdL~IhMdH\vQ~HdNjLrB`G|@dEHnHa@nSsEfNClAhG|B~C_@PjC_@@F\nCKp@xEZ^|A~HvFzJxAzDhB~IZhJc@zF{AdJEfC`@tBpCtE`BjGjHjFtR~IjG?zBb@zHnH|MhJvItElDf@lGaArCRhJlGz@fB~BzMt@fIJbGj@tEZtIh@rEn@bBPpCfEpSfChP",55.6776,8413,"Lunch Ride",0,"4","FALSE",2,"Ride","2022-08-06T10:20:58Z","2022-08-06T11:20:58Z",52.6029421482235,-1.85227428562939,"(GMT+00:00) Europe/London",424,0,"FALSE","Ride","8098211967","8098211967","3600","followers_only",NA,NA,NA,8
"6",0,1,"9989324",1,5.9868,NA,NA,0,"FALSE",NA,"FALSE",2.5791,2961,130.3,111.3,52.564724,-1.825477,"9961C834-E6DD-4C52-885E-59D8B075DA27-activity.fit","FALSE","FALSE",NA,"FALSE","FALSE","FALSE",7580539212,NA,0,"United Kingdom","FALSE","a7580539212",2,"qty_IdjcJIFHIFK@OCIBAAABCGKCQ@_@CAG[?U@D?Ac@_BAOQg@@EH@?@VIVg@BUAo@Kc@Sm@EEI_@Eg@I]Ag@d@sAf@cAFS\c@FW\ELKJAVATDFA`@?HCFOCg@OmAAa@I_@G_@Cy@Gs@GOAQCy@My@@u@I[EEIo@GSc@a@KQ?CKEYc@KGMQEOGIOESUI?UKG?CG[WGi@Uu@AKAe@Ee@@g@M{@ECU@MCUBK?USKBQ?IDS?CDOCKOk@Ea@IcAu@QCCEMEIUOKO_@?CCA@_@BDAA??M]@@DAFDR^@ABD@?HEF@BHCG?JEAB?CG?Ky@vCACH?J@FFX?AF@HD@P?HE\B@BRHVFLJD@f@ALGH@JHT@VELKDARBRMNDLRFDPd@T`B@j@ZfAXb@PNJDRXNLH@LHHNVRJP@LLJBJ`@l@XNRb@Jp@DfAJx@H|AHTVjA@HKh@@RAHBn@DP@h@D^CFc@JK@[KS@CC]DGAMHUd@MJQ\YX?PSr@ObBHp@DPb@nATd@@HEZEJGFMHCDC?CPKFALHh@?LA@FRFl@JZHNJl@@XA`A@JDD@H?x@@RBDB?LJPZVT@DB?JK@B?AAFB@DLBE?IAFFA?FC@HHABBAA@",13.896,1551,"Lunch Walk",0,"0","FALSE",2,"Walk","2022-08-04T09:35:01Z","2022-08-04T10:35:01Z",52.565373,-1.824501,"(GMT+00:00) Europe/London",30,0,"FALSE","Walk","8085248967","8085248967","3600","followers_only",NA,NA,NA,11
"7",0,1,"9989324",1,5.7636,NA,NA,0,"FALSE",NA,"FALSE",2.3834,1521,154.5,128.8,52.6030455809087,-1.85229088179767,"61A37660-B987-480A-B37B-975E0B36C64F-activity.fit","FALSE","FALSE",NA,"FALSE","FALSE","FALSE",7563855033,NA,6,"United Kingdom","FALSE","a7563855033",2,"c_``I|jjJDAJMVO^s@NIJMj@[P[TWh@y@Dg@F]?S]g@c@]}@g@KKKSMQIA",11.2896,1489,"Afternoon Walk",0,"0","FALSE",2,"Walk","2022-08-01T12:01:50Z","2022-08-01T13:01:50Z",52.6028714887798,-1.85219088569283,"(GMT+00:00) Europe/London",28.1,0,"FALSE","Walk","8066802670","8066802670","3600","followers_only",NA,NA,NA,11
"8",55,3,"9989324",1,24.0732,"17",105.5,0,"FALSE","FALSE","FALSE",87.4359,17153,164.6,59.2,52.603051867336,-1.85229272581637,"garmin_push_9302942907","FALSE","FALSE","b10951622","FALSE","FALSE","FALSE",7553136519,1379,10,"United Kingdom","FALSE","a7553136519",2,"gna`IjhgJiJof@oD{AuQu@_YvGae@fn@wC|HkGE_EzG{H~GgHvCiCrE_HnDyM_@{Mq^mCgKwA}KwMkSkJjI{BbZUlMod@kK_D`IaNzP{No@sGnB_QgIuNc@_LqE_O~UgCzQcB|EaCpCmJlFoM~BoDdGqB~G_KcNgBDMnG|D~O\vOsBpOgK|WkCxPgA~YcIuDeG~PcL@yHzBoHkKyK{HkL~QoFnMuF~R_BrLgB`F_DpDoQuFgRIoN_I{AgDWmRgBsHm@eJeCiKeC_CsK|AuOxVqFc@iEaHeCj@aGpD_BkHQeImEYaBiCiFiBeJyIkEl@uCoBsA{EQoUcGeYvJe_@OyL`AmGE{EeDsNeVsIcBuKqMlYqR`MeC`FcMtMwJnDqNtOcExBcM`DoNiI{CpAsTaF{DZm\pLaIiDmNcBqAsc@qFmAS{K}AwOsBqD_Awa@eCsX_DiBiPdAgCyDeAyM}@_AmHdB}GbFeDmQkAoXlCmHlIiKr@uDDmTaD}j@B{^wItB{OwFkN{NgEsTqBcE{MeMms@vBiIfJ_EvBgg@nIw\bPsEhHqEbD}WzGeKEuDzIaBvH_EqAoM_[oGmHqCmAkX@aIcCcZjJuLjGsVpEiKHgEtE}@rIwEzDmKtNoHfPgFzFc@|Bd@rHqDfFsDtBuAw@{BwMqOc_@av@exB|\alArw@pLzHfTjOfU|CdBf\~Bx^kHB_AzCr@lJ`RxIzWrFlEtCn@fQsIxQyDnJuGpD{@|b@~DtRwCxKbA`EmHtw@qNlY}QvIeDCcDoH__@|Bux@Umh@dC{yA?kDsCgO[oNrG}mBe@mJkB{HlA_IOqKzF\zBuBlEiIvC{S_AeOkJoYyB_OgBuCiFoC_@kGfEeOt@c@nE|JhQ`HtQfMzJvDlGzFrJC~HhGnOdQxTdFzCiJdAoYuFo_@KoHpFsh@UkDzJ_TzBwIb@cGT_]m@yNiBuIa@_VlCmLbBpHr@pJ~CzGlNnRhF]lEvBrMjSfh@\~HcDfSu@xAyHdAm@lUzH|C`C|c@leAbFtHxE~KhJxm@`ObHjDpIr@lEi@`NcHzb@yCx`@jI`[zGlMbS`MqF`XOlSbI~BrJbHpTbGn@kIlc@s@dQqGHuGj@k@tMg@ff@rSd_@fTtRhGpVv]tMjHlJ~IfBa@dCcFtNgCpCpA|BhH|GzFtQdHlXtBtj@bJ~ClIz@tHdDdMtDwAlItNxNjJfQnS~KbGzN~JlUfZvGd@vR~HjLrJxE|NHdIYdSyEpPlHzBnCS[bD|CDrCrOjI~NtB~J\nH}CpXhE~I|AfGzGjFxR~I~Kp@rQhOzN|IzPKlKpGjAMrD`[lBr]`L|o@",50.6736,13075,"Newborough with Martin, Peter and Malcolm",0,"30","FALSE",2,"Ride","2022-07-30T07:35:57Z","2022-07-30T08:35:57Z",52.6027078740299,-1.85286571271718,"(GMT+00:00) Europe/London",584,0,"FALSE","Ride","8054802149","8054802149","3600","followers_only","10",NA,NA,8
"9",0,1,"9989324",1,5.9832,NA,NA,0,"FALSE",NA,"FALSE",3.3882,2155,173.4,126.3,52.6033465750515,-1.85248316265643,"0919604D-EB1C-4A97-B71B-C06611B89D10-activity.fit","FALSE","FALSE",NA,"FALSE","FALSE","FALSE",7547876136,NA,4,"United Kingdom","FALSE","a7547876136",2,"ub``IrohJXQFAVSJAb@UPWTSZSHMNGNUb@QNQBI^STIp@c@VWvA_AHAJIBG\MZUXOBCb@OFIx@i@\MHIPERK`@MHILIFAVQFCBBPGLQLCLIPQPKv@k@HSNOPGPU`@SNSVOVYTMXWRIL?DKX[Xu@VKFKLGNQRKHQ@GYcA?QISQs@IOO}@K]S_@Mq@OWMe@AWQ]Ga@IUQgAS]MESHKJG?@@QPIBEFQFKRa@\_@`@IDc@FURM?SPK?EDI@KL_@Lq@d@e@NWN_@Dc@VI@GHKDqAf@k@b@KAc@VUVELGFAAQRIDAHORM`@QFQl@ODQRIBo@bAQNELGFSZa@`@_@t@YRWXURUh@I?SJE?KPm@d@[d@e@`@O^GBEFIDEJEBMRSH",10.5696,2039,"Lunch walk",0,"0","FALSE",2,"Walk","2022-07-29T11:54:14Z","2022-07-29T12:54:14Z",52.6031415537,-1.85234712436795,"(GMT+00:00) Europe/London",43,0,"FALSE","Walk","8048953279","8048953279","3600","followers_only",NA,NA,NA,11
"10",3,1,"9989324",1,21.4308,"17",90.6,1,"FALSE","FALSE","FALSE",45.7106,9940,1250,54,52.6029820460826,-1.85218300670385,"garmin_push_9290440339","FALSE","FALSE","b10951622","FALSE","FALSE","FALSE",7542509619,695.9,10,"United Kingdom","FALSE","a7542509619",2,"gqb`IhzjJ{@jBGbAo@hAcEvDiDrB{B]Sn@EtCwDxJyBpKuArSwA`HNJLGWqAgCuHcBwCyFmGoGQiEeAuAmAcEmGy@e@_RkCgDqAsEuL_D{K_F}LsAkBiB~@mAM}BkKwAyFIgHi@}FLsA~A{AJa@Mq@iIkScDcL_C_KkAiJyDqHsG_ImJzHqB|Xa@jNiDg@oVgHeGq@c@b@_CpG{FxFkFfI}BLoI{@wHzA_EcA{JiFaFm@}HDiDqA_E{CeBpDyCfFwGbKaAvDwAtLoBzEcCdCeHnDyMnCwBlD_ErKo@e@yIkMq@W]LUj@MbBFbC~CvM`@dDLxJ_AvJcArFiHtPeB|HwBnO}@pVOXs@MmFeDYFeCbJqC~EaLFmGlBE^zBlJtB|XdClZs@VuFsA{Dh@cCO{RrEkBhAkG?{BaAkIgImCuAwCUiJ_CeF}BsGOaBd@}E]_FoAqHoF}@mBWyAQmPaBgHo@cJgCcL}CuC{EPiC`AmGfJkB|D}CxEoG]wBwEoAkAiDnAoBxB}BT[u@c@gDMmIWcAaEQqByCqEqAuI}I_AMaDl@yDmDg@_Ca@yUiGqTIeAp@qExAiElBiJdC_HD_C]yGFaBtAwIEoBsAuE{@mGw@iAwHgCcHyDiBCwAmJYa@LoBIc@kAgDeJePnH~MbBdEh@\pBcGxDaPj@oApTqNpFoFCm@cCoByTeNUq@x@qBpFuDv@gBj@{KhEe[vAcd@tDiPvEuN`@gCHoCg@iJOkN^eXdDaUdHu_@PKhObLjFrAn@v@vBQbEqCd@?`A`Dv@|@lFtCvBlBpOhEx@|CtBxClBzDpJR^r@\jHbA~HhBfBrA`I`@t@p@KvBeBfFgG~ADzB|Ap@hAZpANtD_@`Fp@`DwCzCXvBvC`El@xE~DzInA|Az@NnDc@~DoAbFnBo@hCs@`GVf@rC|A|BnEz@nElD`Ir@hFdB|EnBzJnE{CzEcGJvCAdAKoDXs@hBjEx@j@z@A`FgIl@qAnB`FvCdEhBtApBTxFmAdFaFv@_B`@DtDxNpCWfDpAnFtEdMpHJfAdG`LjJhM|ChD`HvJ|H|SpIzE~DlE~AfAlCfAtJDbFv@nMzG|Ch@lDmBpASzJz@fAS|B{CfBkDlGkGrB}Fn@i@fHtAnSrGvEn@b@_PbAaK^mKhJsIhMhRn@|FnF`UzBjHxHxQ_CjCh@|H@xGN~AnBdHnAbH\l@f@NpBuAf@RbElIpIvWzCjGrChAdE\nMjClE~GtAnArAh@fKz@lH~IvFjMPa@TgHv@wJdDmTxBmJQwBd@c@rCOpNkKd@w@",44.7408,7678,"Lichfield with new back wheel from Trek",0,"0","FALSE",2,"Ride","2022-07-28T09:39:49Z","2022-07-28T10:39:49Z",52.6032064296305,-1.85670697130263,"(GMT+00:00) Europe/London",314,0,"FALSE","Ride","8042996031","8042996031","3600","followers_only","10",NA,NA,8
